Session, Time, Freq (MHz), KrakenSDR ID, Latitude, Longitude, Bearing, Direction
(1, '2024-10-13T20:51:53.840822', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:53.849524', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:54.301969', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:54.303465', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:54.682987', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:54.691120', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:55.125352', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:55.128271', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:55.562527', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:55.564820', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:55.987640', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:55.989641', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:56.426277', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:56.430120', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:56.877271', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:56.879097', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:57.308940', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 152.0)
(1, '2024-10-13T20:51:57.315299', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 152.0)
